z_bin,discrepancy_mean,discrepancy_std
0.0,1.8335082062459016,3.1309139223608184
0.01,-0.0011394470880722307,3.3296311815133226
0.02,1.3169745089348444,3.775505042127197
0.03,1.5954614191089773,3.876603756846599
0.04,1.507293117600004,3.9319083171931997
0.05,0.5167581587358552,4.571394532417389
0.06,0.3283441206666653,3.7771774175402877
0.07,-0.5645442390908978,3.347504509385775
0.08,-1.3252539743360057,3.534324958408188
0.09,-0.4232364112941127,4.117306517845245
0.1,-1.5816323314484817,3.752018693098525
0.11,-2.9974737642736917,2.4086555149559974
0.12,-2.93710953852,2.7096968746722045
0.13,-2.930257139479973,2.5529478723981858
0.14,-3.0133157106562294,2.7340626759028086
0.15,-3.1912827843925657,2.8207138502282127
0.16,-2.531104895399961,3.571366780676121
0.17,-3.051815843283325,3.0955298191249403
0.18,-2.985280272247602,3.114552860524298
0.19,-3.0908067076124794,2.9175005831484317
0.2,-3.6193247507562383,3.126226768641209
0.21,-3.4205223870744015,2.4832284774216715
0.22,-2.487642920007429,3.9356344201604196
0.23,-3.319130784999989,3.0427791695790956
0.24,-3.141762285458526,3.6142318555645345
0.25,-3.746024192935443,2.8520217937434147
0.26,-2.8907460309128803,3.460821993783519
0.27,-3.2561131866857034,3.632101783816056
0.28,-4.026889661651577,2.9803558335244866
0.29,-3.4548701479277306,3.267834867391204
0.3,-2.573810025131414,3.963003892820851
0.31,-3.4752864169691713,3.1632295987697288
0.32,-3.0712839326258012,3.7829123649493126
0.33,-0.9637483952848346,4.271002234436937
0.34,-1.3826428162959656,4.426877350299298
0.35000000000000003,1.6164702266625994,4.271498963792121
0.36,-2.5837827130199686,3.990435425408077
0.37,-1.6343344123390777,4.843980578589478
0.38,-2.737033762383277,4.275683722932063
0.39,-2.188095602545404,3.9706170723665495
0.4,-3.657693395463112,3.850436110602733
0.41000000000000003,-1.7273755913333086,5.155927516172604
0.42,-1.3541645721904518,4.538309651136043
0.43,-1.5988931093332894,4.528620510883961
0.44,-0.5831128029230268,4.113949511127099
0.45,0.04612191661539537,4.576081878458043
0.46,-0.10664046005999808,5.553015965906728
0.47000000000000003,-0.2248443434998535,5.358810849779941
0.48,3.0086314535001293,5.585157887617702
0.49,-3.3460509240855703,3.197749299770026
0.5,-1.8745264681538873,5.495568944757316
0.51,-0.9819732552857333,4.979236236156044
0.52,0.4925161810000039,5.152754482284606
0.53,0.9460982765453991,5.773757897613044
0.54,-1.3847556393334344,4.898511834883566
0.55,-2.3640776688002463,4.6444437737344
0.56,-4.984049614249727,0.24860771362218462
0.5700000000000001,-0.9036601233997772,5.1772852808444485
0.58,-4.698176091799678,2.8200494704729286
0.59,0.17130997600020237,10.599264000019222
0.6,-3.1638811192498792,5.468204807117483
0.61,-2.755235447333285,4.9558369074482655
0.62,-1.3790453068000716,6.722375137108066
0.63,-3.7104183438181364,4.866955036891824
0.64,1.023101245555659,4.611789580649069
0.66,-2.641028796666736,4.8835238237079155
0.67,2.2377365614999007,5.624319732341754
0.68,-1.2562731573334531,5.859306238012819
0.6900000000000001,-3.8277072762496687,6.243207749773037
0.7000000000000001,0.7601880185001164,8.666855321283036
0.71,-1.263411072999702,5.044501909987409
0.72,-0.8308533835996968,5.5315152997651875
0.73,0.025696496400041725,6.440605818291666
0.74,0.9177320142857103,6.621563502973815
0.75,4.967989304000184,3.0785193925111587
0.76,-3.263455042799842,4.699754583485627
0.77,-5.663936081499742,2.0990934039755356
0.78,-6.5383307506666215,2.991902287943624
0.79,-5.888780425000505,0.030283611428621758
0.8,-2.5625117243336413,6.341444152979629
0.81,3.326268700666636,0.06542007769356165
0.8200000000000001,0.7601880185003438,6.616016168910686
0.8300000000000001,-0.22270296879969464,7.857964043531527
0.84,-3.580378498399932,7.0637197164177055
0.85,-3.32626870066656,5.33367679365297
0.86,-6.980881522000193,1.4094085158080991
0.87,0.19272372300042662,12.507131520022714
0.89,1.8415822420000723,7.569772184566626
0.9,3.383372025999961,
0.91,-1.3918935549997968,6.8743797942984255
0.92,2.038588714400248,9.973409849158404
0.93,-0.2826614604001406,8.262798886759482
0.9400000000000001,-7.666121425999336,1.877583908575192
0.9500000000000001,0.4496886870006165,6.353258210916445
0.96,3.447613267000179,0.0302836114283002
0.97,0.19272372300019924,4.936228662866311
0.98,2.198478025333619,8.157972498508974
0.99,-7.923086389999753,1.877583908574549
1.0,3.640336990000833,
1.01,-1.498962290000236,7.449768411441595
1.02,-0.5995849159996093,7.603418199972848
1.03,3.8116469659998984,
1.04,-7.83743140200022,
1.06,3.640336990000833,
1.07,3.854474460000347,
1.09,10.021633596000356,
1.12,3.940129447999425,
1.1300000000000001,-3.554682001999936,
1.1400000000000001,3.9401294480003344,
1.2,-10.021633595999447,
1.21,-7.409156461999373,
1.22,4.111439424000309,
1.23,4.539714363999944,0.7050295310619835
1.29,-3.8116469659998984,
1.3,-3.811646965998989,0.0
1.31,-7.837431401999311,
1.32,-3.854474460000347,
1.34,4.325576893999823,
1.35,0.9422048679998625,6.904663405725761
1.3900000000000001,4.41123188200072,
1.41,5.696056702000533,
1.51,-10.535563524000281,
1.54,4.090025677000085,11.780324845735471
1.61,4.496886870000708,
1.69,-12.591283235999981,
1.75,5.053644292001081,
1.8,5.09647178600062,
1.9100000000000001,-10.064461089998986,
2.2600000000000002,5.867366678001417,
